Исполнитель ТП;id;status;priority;subject;Секция НЭП;Jira;Тип запроса;Способ решения;Сервис НЭП;Срок;Сервис Фабр.;ТП №;description;created_on;updated_on;SLA
Ткач И.;132699;Выполнена;Критично (A);нет закупки на площадке;;https://jira.fabrikant.ru/browse/FAB-7730;Ошибка внешней системы;Вручную;;;Процедуры 2.0;32009250610 - 5114747 , 32009253435 - 5114718;Опубликовали извещение № 32009250610 заказчик ИНН 5247053212 На ЕИС есть закупка, на площадке нет.  № 32009253435 заказчик ИНН 5246005833 то же самое.;2020-06-19T06:55:13Z;2020-06-30T12:04:48Z;
Халилова А.;132972;Выполнена;Критично (A); 2685008 и 2685020 после переноса процедуры заказчик не может их опубликовать;;;Ошибка, просьба пользователя (ошибок ЭТП нет);Вручную;;;Росатом;2685008 ;"https://www.fabrikant.ru/admin/firms/?id=53029 № 53029 - АКЦИОНЕРНОЕ ОБЩЕСТВО ПО НАЛАДКЕ, СОВЕРШЕНСТВОВАНИЮ ЭКСПЛУАТАЦИИ И ОРГАНИЗАЦИИ УПРАВЛЕНИЯ АТОМНЫХ СТАНЦИЙ ""АТОМТЕХЭНЕРГО"" ( Москва )   Процедуры  2685008 и 2685020 были перенесены из другого аккаунта (смотри связанную задачу), теперь заказчик не может их подписать, колесико крутиться и ничего не происходит (так 3 часа подряд). Пробовали чистить кеш, перезаходили - не помогает. Процедуры опубликованы на ГК.   Коллеги, прошу помочь с публикацией на ЭТП.";2020-06-22T14:58:04Z;2020-06-23T09:04:54Z;
Ткач И.;132979;В работе;Критично (A);Клиенты не могут зайти в лк;;;-- Не установлен --;Решено администраторами;;;ЭП (сертификаты в ЛК, УЦ);;"Коллеги, доброе утро! Где-то с 8 утра начались массовые обращения клиентов. не могут зайти в личный кабинет. ОШибка ; по логину вообще ничего не выдает . просто не входит а по эцп ошибка авторизации повторите попытку позднее или выберите другой сертификат. с нашей стороны под пользователем тоже не зайти ";2020-06-23T05:21:03Z;2020-06-23T13:34:40Z;
Ткач И.;133458;Выполнена;Критично (A);2677483 запрос о внесении изменений в процедуру ;;;Ошибка, просьба пользователя (ошибок ЭТП нет);Вручную;;;Процедуры 1.0, 1.5;2677483;https://www.fabrikant.ru/admin/firms/index.html?id=105521 № 105521 - Филиал АО «Концерн Росэнергоатом» «Дирекция строящейся Воронежской атомной станции теплоснабжения» ( Воронеж )   https://www.fabrikant.ru/trades/corporate/AuctionSeller/?action=view&id=11691#lot_1  Обратился заказчик с официальным письмом в адрес ЭТП, с просьбой отменить обеспечение в процедуре. Письмо прикладываю.  Коллеги  прошу рассмотреть возможность внесения изменений в процедуру. ;2020-06-29T09:46:19Z;2020-07-02T08:50:19Z;
Ткач И.;133653;Подтверждена;Критично (A);Ошибка интеграции с ЕИС;;;Ошибка, просьба пользователя (ошибок ЭТП нет);Вручную;;;Интеграция ЕИС;;"Орг https://www.fabrikant.ru/admin/firms/index.html?id=821951 8602200530 БУ ""СУРГУТСКИЙ ГОСУДАРСТВЕННЫЙ ПЕДАГОГИЧЕСКИЙ УНИВЕРСИТЕТ"" разместил ТП на Фабриканте https://www.fabrikant.ru/v2/trades/procedure/view/aGfLayU4AozWWpmCPW1tvA Запрос котировок №5114561 18.06.2020, в ЕИС закупка не интегрировалась, вышла ошибка интеграции ""Нет сопоставления способа закупки в ЛК"". Скрин прилагаю. При сопоставлении способа закупки в ЛК Фабриканта, способ закупки Запрос котировок в списке не появляется, хотя в ЕИС этот способ есть https://zakupki.gov.ru/223/clause/public/order-clause/info/purchase-method.html?d-4031123-p=2&clauseId=30794&style44=false&clauseInfoId=455241&epz=true - ""запрос котировок в электронной форме"". Прошу подтянуть способ закупки в ЛК Фабриканта. ";2020-07-02T08:48:33Z;2020-07-03T15:03:54Z;0
Ткач И.;133690;На уточнении;Критично (A);2677358,268172 ошибка сертификата при подписании протокола;;;Ошибка, просьба пользователя (ошибок ЭТП нет);Разъяснение пользователю;;;Авторизация, роли, ЭЦП;2677358,268172;"https://www.fabrikant.ru/admin/firms/?id=48296 № 48296 - ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОССИЙСКИЙ ФЕДЕРАЛЬНЫЙ ЯДЕРНЫЙ ЦЕНТР - ВСЕРОССИЙСКИЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ ЭКСПЕРИМЕНТАЛЬНОЙ ФИЗИКИ"" ( Саров )  процедуры 2677358,268172  При подписании протоколов в процедурах 2677358,268172 возникает ошибка (см. скрин). Подобная ситуации у всего отдела закупок. 30 - ЭП работали штатно.  Коллеги прошу проверить, почему не работают электронные сертификаты сотрудников № 48296 - ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОССИЙСКИЙ ФЕДЕРАЛЬНЫЙ ЯДЕРНЫЙ ЦЕНТР - ВСЕРОССИЙСКИЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ ЭКСПЕРИМЕНТАЛЬНОЙ ФИЗИКИ"" ( Саров ) и дать рекомендации по настройке корректной работы ЭП. ";2020-07-02T11:19:07Z;2020-07-02T12:21:39Z;
Халилова А.;133740;На контроле;Критично (A);ошибка при выгрузке изменений из сап на Фабрикант ;;;Ошибка, просьба пользователя (ошибок ЭТП нет);Разъяснение пользователю;;;Процедуры Росатом;2680432;"№ 58334 - Акционерное общество ""Центральное конструкторское бюро машиностроения"" ( 7806394392) https://www.fabrikant.ru/admin/firms/index.html?id=58334   в тп ""Редукцион № 2680432""   https://www.fabrikant.ru/trades/atom/Reduction/?action=view&id=408#lot_1 внесли изменения в САП, поменяли регламентные сроки,  прошу выгрузить изменения  скрины из сап прилагаю  ";2020-07-02T14:44:06Z;2020-07-03T11:30:34Z;
Ткач И.;133771;На уточнении;Критично (A);ошибка при публикации изменений;;https://jira.fabrikant.ru/browse/FAB-7432;Отсутствует функционал;Вручную;;;Процедуры 2.0;5114177;гознак https://www.fabrikant.ru/admin/firms/?id=187572 аукцион Процедурная часть (№5114177) https://www.fabrikant.ru/v2/trades/procedure/view/K_KUuPv6TkV6uZOIapNGpQ внесли изменения, не могут опубликовать черновик изменений. систем а пишет: *Цена не может быть изменена при наличии поданных заявок* цену при этом не редактировали, только даты. прошу проверить, помочь опубликовать. вопрос срочный.;2020-07-03T07:25:52Z;2020-07-03T15:07:21Z;
Ткач И.;133825;На уточнении;Критично (A);Нет возможности актуализировать предложение ;;;Ошибка, просьба пользователя (ошибок ЭТП нет);Вручную;;;Процедуры 2.0;5113592;Коллеги!   Клиент https://www.fabrikant.ru/admin/firms/?id=72389 тп https://www.fabrikant.ru/v2/trades/procedure/view/ZiYS1sYJe6mAd70VelkUCA  Идет этап актуализации предложения Дата и время окончания актуализации 03.07.2020 13:00  Но у участника нет возможности актуализировать свое предложение.  Прошу проверить и решить вопрос. ;2020-07-03T09:29:24Z;2020-07-03T10:27:59Z;
Ткач И.;133829;Выполнена;Критично (A);нет кнопки для интеграции протокола в ЕИС;;;Развитие ПО (функция не предусмотрена);Решено командой разработки;;;Процедуры 2.0;5091181 ;"№ 653218 - ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СУДОСТРОИТЕЛЬНЫЙ КОМПЛЕКС ""ЗВЕЗДА"" 2503032517 https://www.fabrikant.ru/admin/firms/?id=653218  в тп нет кнопки отправить протокол отмены в ЕИС по тп 5091181  прошу исправить. ";2020-07-03T09:48:21Z;2020-07-03T11:14:09Z;
- Не выбран -;133847;Новая;Критично (A);Прошу изменить регламентные сроки в закупке 2683816;;;;Не установлен;;;;;"ОРГ https://www.fabrikant.ru/admin/firms/index.html?id=105234 4312126856 ООО ""ГалоПолимер Кирово-Чепецк"" поступил запрос обратной связи от заказчика с просьбой продлить этапы проведения закупки № 2683816 ""Преобразователи частоты, модули ввода, регулятор мощности"".  1. Дата и время рассмотрения заявок: с 03.07.2020 15:00 на 07.07.2020 в 16:00  2. Дата и время подведения итогов закупки: с  7 июл 2020 16:00 на 09.07.2020 г. 16:00 Коммерческая закупка. Прошу согласовать изменение регламентных сроков.";2020-07-03T11:31:40Z;2020-07-03T14:11:56Z;
Ткач И.;133866;На уточнении;Критично (A);Не могут выбрать заказчика 2.0 №2;;;Баг (ошибка в коде);Вручную;;;Админка 2.0;;"Коллеги,   Опять проблема: Заказчик № 750257 - ООО ""АВЕЛАР СОЛАР ТЕХНОЛОДЖИ"" https://www.fabrikant.ru/admin/firms/?id=750257&page=3  опять не может при пубилкации выбрать заказчика в 2.0. Скрин прилагаю.  Проблема блокирует публикацию процедур.  Носит системный характер, связана с  #133637 - Нет возможности выбрать заказчика с 2.0 https://redmine.fabrikant.ru/redmine/issues/133637  ";2020-07-03T12:29:03Z;2020-07-04T18:32:11Z;
;80465;Выполнена;Высокий (B);Торги Росатом. Форма СТС. Заполнение адреса производителя на латинице.;;;Ошибка в техническом задании на разработку ПО;;;;Росатом;;"В форме СТС при заполнении информации о Юридическом адресе компании при использовании не букв не ""классической"" латиницы (или при наличии нестандартных спецсимволов)   просит при сохранении данных вписать адрес (при сохранении выдаёт, что адрес не заполнен).  Пример: Wilhelm-Harting-Stra*ß*e 1  Варианты решения:  1)допустить заполнение с любыми спецсимволами и буквами (если это не будет противоречить правилам интеграции) - Приоритетный. 2)Уведомить клиента о необходимости использовать ТОЛЬКО стандартный латинский алфавит (без спецсимволов и пр. знаках). ";2018-11-23T12:55:28Z;2020-06-18T10:48:27Z;
;109242;На уточнении;Высокий (B);Проблема при отправки данных аккредитации Росатом;;https://jira.fabrikant.ru/browse/SITE-8118;Баг (ошибка в коде);Решено командой разработки;;;Аккредитация;;"Если организация не резидент, то при попытке отправки данных через дебаг Росатома возникает ошибка : Некорректный тип МСП . пример : а) https://www.fabrikant.ru/soap/service/debug/rosatom/accreditation/?id=95059&action=firm_details ( https://www.fabrikant.ru/soap/service/debug/rosatom/accreditation/index.php?action=&firm_id=88092&state= ) ;  б)Фирма https://www.fabrikant.ru/admin/firms/?id=88092 ;  в)в 1.0 админке статус МСП проставился - Не субьект, а в 2.0 - Не выбрано  просьба помочь ";2019-10-07T14:38:34Z;2020-06-09T13:09:22Z;
;109677;Классификация;Высокий (B);Не могут войти в лк по ЭЦП;;;Ошибка внешней системы;Разъяснение пользователю;;;ЭП (сертификаты в ЛК, УЦ);;"Коллеги, на линию обращаются участники которые не могут войти в ЛК по электронной подписи. Портал при входе по ЭЦП выдает ошибку ""Проверка достоверности подписи Ваш сертификат не может быть использован для работы на Портале. Не хватает прав для проверки сертификата. Просьба обратиться в техническую поддержку Портала. Данную ошибку можно устранить, воспользовавшись инструкцией."" Прошу помочь.  уч-ки 1. https://www.fabrikant.ru/admin/firms/?id=78829 2. https://www.fabrikant.ru/admin/firms/?id=69150 ( будет переторжка в АО, завершение 14.10 в 9-00) 3. https://www.fabrikant.ru/admin/firms/?id=792569 4. https://www.fabrikant.ru/admin/firms/?id=286775 5. https://www.fabrikant.ru/admin/firms/?id=109162 6. https://www.fabrikant.ru/admin/firms/?id=795098 7. https://www.fabrikant.ru/admin/firms/?id=797405";2019-10-14T04:54:04Z;2020-06-17T10:58:51Z;
;112988;На контроле;Высокий (B);ошибка при интеграции плана ;;https://jira.fabrikant.ru/browse/SITE-6692;Ошибка внешней системы;Вручную;;;План закупок;;"№ 710001 - Акционерное общество ""Норильско -Таймырская Энергетическая Компания"" ( 2457058356)  https://www.fabrikant.ru/admin/firms/index.html?id=710001  создают план за 2020 год Версия: 1  при интеграции в ЕИС  ошибка: Некорректные данные (IDE): Для загружаемой позиции 17 в initialPositionId должна быть указана позиция исходного плана закупки со сроком исполнения договора большим, чем период планирования.  прошу помочь.    ";2019-11-21T12:29:29Z;2020-07-02T09:11:48Z;
;116406;На уточнении;Высокий (B);Проблема прав доступа к форме Вопросы от организатора в ТП 2.0 Фортум в ответе на ЗУ.;;https://jira.fabrikant.ru/browse/FAB-7060;Баг (ошибка в коде);Вручную;;;Процедуры 2.0;;Просьба проанализировать проблему прав доступа к форме Вопросы от организатора в ТП 2.0 Фортум в ответе на ЗУ и выработать план по решению массовой недоступности формы. (аналогичные обращения в связанных задачах).;2019-12-27T09:34:48Z;2020-06-17T14:08:45Z;
;117957;Отложена;Высокий (B);"Баг в сервисе ""кол-во подписчиков на код ОКПД2""";;https://jira.fabrikant.ru/browse/FAB-6863;Баг (ошибка в коде);Не установлен;;;Процедуры 2.0;;"При создании процедуры 2.0 Заказчик видит количество подписанных участников на какой-либо код. Но информация некорректная. Прощу показать 118 подписчиков на категорию 20.14.21 ""Спирты жирные промышленные"". Через базу находится лишь один подписчик.  ";2020-01-22T08:15:00Z;2020-05-27T14:16:05Z;
;119734;На контроле;Высокий (B);Не возобновился тарифный план Платит Победитель ;;https://jira.fabrikant.ru/browse/CASH-164;Баг (не критичный);Вручную;;;Тарифы;;"Коллеги, добрый день!   Клиент https://www.fabrikant.ru/admin/firms/index.html?id=738930&type=3  Принимал участие в тп https://www.fabrikant.ru/trades/corporate/ProcedurePurchase/?action=view&id=54605  11.02.2020 09:28  Принятое решение: 	Отказаться от дальнейшего проведения закупки ""Комплексная закупка ""Запрос в электронной форме № 2623938"""".  Тариф у клиента так и остался приостановленным. Уточните, пожалуйста, причину и верните тариф в верный статус. ";2020-02-11T10:14:48Z;2020-05-21T15:58:19Z;
;121422;На уточнении;Высокий (B);Проверить отправку писем на почту;;;Запрос от клиента;Вручную;;;Рассылка, личные настройки, Моя почта;;https://www.fabrikant.ru/admin/firms/?id=48376  Пользователь Волкова Оксана Васильевна, Коллеги, мы вчера 26.02.2020 направляли организатору письмо для восстановления пароля примерно с 17:00 до 17:20,  Пользователь нам сообщил сегодня что письмо не пришло ему. Сегодня в 10:01 примерно повторно направили письмо с паролем, однако пользователь говорит, что письмо снова не пришло. Они обратились к своим сисадминам, те говорят, что заблокированных писем от нас у них нет. Коллеги, можете пожалуйста, проверить эти две отправки писем на почту ov.volkova@eatom.ru если письма от нас уходили можете пожалуйста приложить логи, чтобы мы перенаправили сисадминам клиента.;2020-02-27T11:21:26Z;2020-06-17T12:51:22Z;
